"Country or Area","Year","Value"
"Australia","2020","97303.7351683072"
"Australia","2019","99367.7314000717"
"Australia","2018","105796.247541354"
"Australia","2017","105002.791862103"
"Australia","2016","103078.580409683"
"Australia","2015","103955.984361692"
"Australia","2014","103494.595325217"
"Australia","2013","106249.156436759"
"Australia","2012","106641.052870279"
"Australia","2011","106310.044405118"
"Australia","2010","104768.448533726"
"Australia","2009","107797.782980574"
"Australia","2008","109033.21001672"
"Australia","2007","111645.922019151"
"Australia","2006","111294.127712246"
"Australia","2005","112300.305724911"
"Australia","2004","110016.932516031"
"Australia","2003","108530.050761768"
"Australia","2002","115485.968550101"
"Australia","2001","117110.619052842"
"Australia","2000","118052.17644461"
"Australia","1999","114164.527759236"
"Australia","1998","117834.999257818"
"Australia","1997","118004.542337205"
"Australia","1996","115157.293442175"
"Australia","1995","115838.533863639"
"Australia","1994","117269.416880507"
"Australia","1993","120116.183306004"
"Australia","1992","123239.843554797"
"Australia","1991","124199.251540457"
"Australia","1990","125133.249408805"
"Austria","2021","6499.26459036207"
"Austria","2020","6502.90399748831"
"Austria","2019","6608.55492437589"
"Austria","2018","6757.86794870621"
"Austria","2017","6993.400421791"
"Austria","2016","7023.26696432911"
"Austria","2015","7103.22155285219"
"Austria","2014","7190.58111633656"
"Austria","2013","7348.95288934358"
"Austria","2012","7469.67356667963"
"Austria","2011","7604.1183093934"
"Austria","2010","7835.56451101436"
"Austria","2009","7957.5447147166"
"Austria","2008","8082.3725379367"
"Austria","2007","8245.19136833339"
"Austria","2006","8379.42530103999"
"Austria","2005","8514.25420116871"
"Austria","2004","8775.22246226698"
"Austria","2003","8783.4923781595"
"Austria","2002","8864.23625737509"
"Austria","2001","9021.7376061709"
"Austria","2000","9217.84581187168"
"Austria","1999","9452.01111910417"
"Austria","1998","9649.95785589969"
"Austria","1997","9838.05375103599"
"Austria","1996","10168.6049062721"
"Austria","1995","10513.7923347018"
"Austria","1994","10605.3993077022"
"Austria","1993","10937.0334773225"
"Austria","1992","10893.4981180531"
"Austria","1991","11199.9213641497"
"Austria","1990","11318.847159775"
"Belarus","2021","17875.9385994639"
"Belarus","2020","17678.0898385645"
"Belarus","2019","17531.6364146119"
"Belarus","2018","17480.7019196544"
"Belarus","2017","17278.9204664539"
"Belarus","2016","17089.2541481099"
"Belarus","2015","17221.8007078392"
"Belarus","2014","17334.213747643"
"Belarus","2013","17423.0104733757"
"Belarus","2012","17074.9191640812"
"Belarus","2011","16763.8036262264"
"Belarus","2010","16727.6602077316"
"Belarus","2009","16298.3016203319"
"Belarus","2008","16280.7656836972"
"Belarus","2007","16058.4574234465"
"Belarus","2006","15995.6465795177"
"Belarus","2005","15606.6409616497"
"Belarus","2004","15116.764366821"
"Belarus","2003","14881.4015718123"
"Belarus","2002","14918.6706126283"
"Belarus","2001","14990.8627743102"
"Belarus","2000","15093.4779528177"
"Belarus","1999","15168.7302856079"
"Belarus","1998","15526.2315157759"
"Belarus","1997","15534.5706550462"
"Belarus","1996","15498.9284886851"
"Belarus","1995","15952.5191230317"
"Belarus","1994","16793.3088406692"
"Belarus","1993","17482.150450699"
"Belarus","1992","18337.9466489137"
"Belarus","1991","19739.7590855256"
"Belarus","1990","20770.3444355306"
"Belgium","2021","7870.0988320078"
"Belgium","2020","7971.60760675944"
"Belgium","2019","8095.9414953694"
"Belgium","2018","8181.19653592443"
"Belgium","2017","8263.19317244112"
"Belgium","2016","8446.15473793036"
"Belgium","2015","8487.18832618972"
"Belgium","2014","8477.62744488272"
"Belgium","2013","8650.40972336463"
"Belgium","2012","8819.24892718146"
"Belgium","2011","8861.15725626442"
"Belgium","2010","9123.26236497711"
"Belgium","2009","9157.08878287873"
"Belgium","2008","9228.77722540732"
"Belgium","2007","9416.096479799"
"Belgium","2006","9532.71826515205"
"Belgium","2005","9630.15364481411"
"Belgium","2004","9876.94701648661"
"Belgium","2003","9941.88339304698"
"Belgium","2002","10523.4769561045"
"Belgium","2001","10972.5966945724"
"Belgium","2000","11443.9432170105"
"Belgium","1999","11905.5133935568"
"Belgium","1998","12174.4377802763"
"Belgium","1997","12368.9253514447"
"Belgium","1996","12500.4015191337"
"Belgium","1995","12653.8127202203"
"Belgium","1994","12582.3517358113"
"Belgium","1993","12547.6829314078"
"Belgium","1992","12768.7039910165"
"Belgium","1991","12855.2717454567"
"Belgium","1990","12899.9861722137"
"Bulgaria","2021","6560.59971145466"
"Bulgaria","2020","6406.8323891111"
"Bulgaria","2019","6527.15408981666"
"Bulgaria","2018","6801.94174796498"
"Bulgaria","2017","7125.41585012255"
"Bulgaria","2016","7260.0006101485"
"Bulgaria","2015","7440.42848600287"
"Bulgaria","2014","7405.00406355537"
"Bulgaria","2013","7466.39265788863"
"Bulgaria","2012","7561.51483576702"
"Bulgaria","2011","7876.34152582209"
"Bulgaria","2010","7586.15451947416"
"Bulgaria","2009","7441.69071573075"
"Bulgaria","2008","7691.43598681683"
"Bulgaria","2007","7772.65473227634"
"Bulgaria","2006","7761.49953401938"
"Bulgaria","2005","7931.83015234619"
"Bulgaria","2004","8317.18857281103"
"Bulgaria","2003","8822.07312113839"
"Bulgaria","2002","8110.60421290763"
"Bulgaria","2001","7776.69009533048"
"Bulgaria","2000","8495.95725139827"
"Bulgaria","1999","8566.44857023938"
"Bulgaria","1998","8998.54532646603"
"Bulgaria","1997","9618.35067181351"
"Bulgaria","1996","9973.20614649032"
"Bulgaria","1995","9968.17970082954"
"Bulgaria","1994","9834.01328949902"
"Bulgaria","1993","11822.5956635052"
"Bulgaria","1992","13072.4533979885"
"Bulgaria","1991","13462.7327372513"
"Bulgaria","1990","14631.8094562071"
"Canada","2021","90509.759899685"
"Canada","2020","91379.8196667903"
"Canada","2019","101367.689417077"
"Canada","2018","103864.664920584"
"Canada","2017","104067.299141371"
"Canada","2016","104732.076591537"
"Canada","2015","109975.157853482"
"Canada","2014","112564.717134026"
"Canada","2013","111504.033241653"
"Canada","2012","110506.668335065"
"Canada","2011","107989.501730127"
"Canada","2010","107761.32435633"
"Canada","2009","106879.812392432"
"Canada","2008","112880.54695375"
"Canada","2007","113921.261020961"
"Canada","2006","116412.194432084"
"Canada","2005","114807.904933934"
"Canada","2004","113213.176638027"
"Canada","2003","110839.468677149"
"Canada","2002","110408.27156546"
"Canada","2001","110703.555470685"
"Canada","2000","110824.41525594"
"Canada","1999","108681.188555635"
"Canada","1998","107494.102714927"
"Canada","1997","106312.594744348"
"Canada","1996","104068.177545049"
"Canada","1995","100379.041957051"
"Canada","1994","96100.9775585294"
"Canada","1993","92593.8662741751"
"Canada","1992","89611.5046237305"
"Canada","1991","85490.8008552617"
"Canada","1990","83913.8547579155"
"Croatia","2021","3887.15610467487"
"Croatia","2020","4001.92922146943"
"Croatia","2019","4049.49762573895"
"Croatia","2018","4103.61364575574"
"Croatia","2017","4272.83775576744"
"Croatia","2016","4284.31328780622"
"Croatia","2015","4265.87638474419"
"Croatia","2014","4167.23143071918"
"Croatia","2013","4203.11159354863"
"Croatia","2012","4316.98480876876"
"Croatia","2011","4372.96902619313"
"Croatia","2010","4420.01122803787"
"Croatia","2009","4350.32587270002"
"Croatia","2008","4265.34436485629"
"Croatia","2007","4291.77239013506"
"Croatia","2006","4288.49513866491"
"Croatia","2005","4155.72334886723"
"Croatia","2004","4141.43418336984"
"Croatia","2003","4026.50578276653"
"Croatia","2002","3833.94760335765"
"Croatia","2001","3821.07337862016"
"Croatia","2000","3734.9257999896"
"Croatia","1999","3787.12589823408"
"Croatia","1998","3726.43267494906"
"Croatia","1997","3750.00852811619"
"Croatia","1996","3776.62157815759"
"Croatia","1995","3814.81935134095"
"Croatia","1994","3861.30032681661"
"Croatia","1993","4062.19152065843"
"Croatia","1992","4146.8324009397"
"Croatia","1991","4661.53213163526"
"Croatia","1990","4821.38262191547"
"Cyprus","2021","1097.40095763803"
"Cyprus","2020","1064.83267345146"
"Cyprus","2019","1034.05336443387"
"Cyprus","2018","1013.25106964142"
"Cyprus","2017","999.058541839055"
"Cyprus","2016","980.386395049634"
"Cyprus","2015","957.01209185498"
"Cyprus","2014","949.373579238993"
"Cyprus","2013","948.40219682242"
"Cyprus","2012","963.139047168444"
"Cyprus","2011","973.255864805782"
"Cyprus","2010","973.732840133294"
"Cyprus","2009","964.613218904935"
"Cyprus","2008","962.364995940455"
"Cyprus","2007","964.653605169765"
"Cyprus","2006","962.620617413605"
"Cyprus","2005","960.064055810794"
"Cyprus","2004","984.948386425321"
"Cyprus","2003","994.648751944308"
"Cyprus","2002","1003.66051834994"
"Cyprus","2001","975.92292375296"
"Cyprus","2000","938.336465320068"
"Cyprus","1999","919.570421011346"
"Cyprus","1998","917.447647262224"
"Cyprus","1997","914.779073627738"
"Cyprus","1996","909.383257208261"
"Cyprus","1995","887.562309030471"
"Cyprus","1994","861.384248328841"
"Cyprus","1993","847.165667795858"
"Cyprus","1992","816.304329965439"
"Cyprus","1991","791.347981011437"
"Cyprus","1990","776.447324020094"
"Czechia","2021","13223.9900175251"
"Czechia","2020","13098.133945115"
"Czechia","2019","13798.8677114323"
"Czechia","2018","14165.5487491501"
"Czechia","2017","14273.4423625821"
"Czechia","2016","14513.7243606076"
"Czechia","2015","14938.4986490832"
"Czechia","2014","14881.7015443358"
"Czechia","2013","14893.8617356153"
"Czechia","2012","15580.3762688573"
"Czechia","2011","15646.1095095858"
"Czechia","2010","15709.8718543046"
"Czechia","2009","15447.726584432"
"Czechia","2008","16265.1577981665"
"Czechia","2007","16196.9122568752"
"Czechia","2006","16753.8627426574"
"Czechia","2005","16531.5698564545"
"Czechia","2004","15896.4705517257"
"Czechia","2003","16439.9242029856"
"Czechia","2002","16586.8889202263"
"Czechia","2001","16951.0122292252"
"Czechia","2000","17614.6994206362"
"Czechia","1999","18686.7037470754"
"Czechia","1998","19653.1558687785"
"Czechia","1997","20547.8784396059"
"Czechia","1996","21155.5767290314"
"Czechia","1995","21157.0346041929"
"Czechia","1994","21514.8812081802"
"Czechia","1993","22927.4484994037"
"Czechia","1992","23474.5515419247"
"Czechia","1991","25429.833263468"
"Czechia","1990","26813.5709678121"
"Denmark","2021","8644.69913581677"
"Denmark","2020","8613.03644167601"
"Denmark","2019","8471.83532089407"
"Denmark","2018","8658.41624240605"
"Denmark","2017","8586.01980446307"
"Denmark","2016","8585.81517770987"
"Denmark","2015","8503.37872548266"
"Denmark","2014","8586.31421597867"
"Denmark","2013","8614.23549731089"
"Denmark","2012","8719.20581662134"
"Denmark","2011","8831.962099791"
"Denmark","2010","9015.27070637594"
"Denmark","2009","8918.19152680284"
"Denmark","2008","9070.82014666185"
"Denmark","2007","9223.18317923032"
"Denmark","2006","9251.72621783084"
"Denmark","2005","9405.71081826368"
"Denmark","2004","9684.04491457671"
"Denmark","2003","9863.76123416454"
"Denmark","2002","9825.9004717323"
"Denmark","2001","9874.23981537876"
"Denmark","2000","9632.01565869795"
"Denmark","1999","9640.72569129748"
"Denmark","1998","9769.43148147216"
"Denmark","1997","9687.05261793259"
"Denmark","1996","9801.76086648628"
"Denmark","1995","9671.43586592299"
"Denmark","1994","9588.14839828604"
"Denmark","1993","9735.82505515295"
"Denmark","1992","9495.60366659121"
"Denmark","1991","9393.40183813724"
"Denmark","1990","9161.07323086463"
"Estonia","2021","1152.94077636597"
"Estonia","2020","1144.51397209763"
"Estonia","2019","1156.23236717043"
"Estonia","2018","1143.58287445534"
"Estonia","2017","1146.17163473416"
"Estonia","2016","1132.24614629645"
"Estonia","2015","1151.48062041693"
"Estonia","2014","1253.97992048451"
"Estonia","2013","1280.43725076093"
"Estonia","2012","1279.97091592427"
"Estonia","2011","1267.35545537586"
"Estonia","2010","1298.22216913007"
"Estonia","2009","1289.50212162535"
"Estonia","2008","1279.55299535872"
"Estonia","2007","1297.78921288226"
"Estonia","2006","1304.10534736549"
"Estonia","2005","1312.32346331266"
"Estonia","2004","1331.10767090867"
"Estonia","2003","1309.96878304275"
"Estonia","2002","1309.55967475522"
"Estonia","2001","1362.69380664654"
"Estonia","2000","1323.80341028385"
"Estonia","1999","1287.04027251292"
"Estonia","1998","1380.72086126396"
"Estonia","1997","1400.26468568331"
"Estonia","1996","1343.4657809322"
"Estonia","1995","1349.31756432513"
"Estonia","1994","1457.80145934946"
"Estonia","1993","1525.41520003737"
"Estonia","1992","1798.01968042007"
"Estonia","1991","2077.99022240648"
"Estonia","1990","2152.37788424663"
"European Union","2021","401658.555492058"
"European Union","2020","405668.777595617"
"European Union","2019","409823.111980726"
"European Union","2018","419510.262427317"
"European Union","2017","425299.119611277"
"European Union","2016","427051.440643852"
"European Union","2015","431827.739277019"
"European Union","2014","430594.636866632"
"European Union","2013","438057.659726532"
"European Union","2012","446196.416827222"
"European Union","2011","448820.580904495"
"European Union","2010","458733.510512192"
"European Union","2009","465554.716264428"
"European Union","2008","474992.669022734"
"European Union","2007","481805.349103066"
"European Union","2006","487622.590646785"
"European Union","2005","496915.825866178"
"European Union","2004","505199.524329052"
"European Union","2003","522102.612819992"
"European Union","2002","525792.596640214"
"European Union","2001","536404.26161685"
"European Union","2000","542790.261814886"
"European Union","1999","563519.319726284"
"European Union","1998","571539.310731765"
"European Union","1997","584616.35230634"
"European Union","1996","588866.536992559"
"European Union","1995","591985.350677926"
"European Union","1994","594503.832159852"
"European Union","1993","605144.393290781"
"European Union","1992","611826.573517838"
"European Union","1991","627352.442936245"
"European Union","1990","648411.628836414"
"Finland","2021","4819.21681748269"
"Finland","2020","4937.91394139328"
"Finland","2019","5041.9363975537"
"Finland","2018","5098.89233103478"
"Finland","2017","5177.53469560228"
"Finland","2016","5305.2419380264"
"Finland","2015","5469.50835968538"
"Finland","2014","5508.39642805102"
"Finland","2013","5614.36546627005"
"Finland","2012","5752.26391918944"
"Finland","2011","5818.71064938788"
"Finland","2010","5993.42393476509"
"Finland","2009","5922.41589877669"
"Finland","2008","6016.01322130337"
"Finland","2007","6192.27406746589"
"Finland","2006","6336.47711269369"
"Finland","2005","6258.1793280932"
"Finland","2004","6537.16895107761"
"Finland","2003","6748.71860326297"
"Finland","2002","6972.14693607"
"Finland","2001","7218.16256657991"
"Finland","2000","7364.1863539836"
"Finland","1999","7651.81364269502"
"Finland","1998","7868.40598689608"
"Finland","1997","8153.98176012567"
"Finland","1996","8246.88954563311"
"Finland","1995","8322.50815234453"
"Finland","1994","8557.79561311247"
"Finland","1993","8584.88620868106"
"Finland","1992","8538.87650332195"
"Finland","1991","8592.7518818771"
"Finland","1990","8611.47088743084"
"France","2021","62196.306195502"
"France","2020","63774.3314706699"
"France","2019","64979.6376701825"
"France","2018","64990.9408911099"
"France","2017","66080.6274916821"
"France","2016","66737.8770065073"
"France","2015","66819.0187892193"
"France","2014","67438.2490999569"
"France","2013","68636.6062787625"
"France","2012","70262.3454156688"
"France","2011","71004.5926941536"
"France","2010","73731.3877028836"
"France","2009","73747.3964594718"
"France","2008","75150.6769172269"
"France","2007","74611.3743375674"
"France","2006","74733.1069099886"
"France","2005","75397.4509881154"
"France","2004","76381.9047176573"
"France","2003","77519.7103475787"
"France","2002","78585.1457442384"
