"Country or Area","Year","Value"
"Australia","2020","18586.6505786423"
"Australia","2019","18751.6454597708"
"Australia","2018","19578.7352445301"
"Australia","2017","20719.4402875542"
"Australia","2016","19042.9126227538"
"Australia","2015","19054.8322733447"
"Australia","2014","19673.1389378784"
"Australia","2013","19263.6358124958"
"Australia","2012","20490.296456053"
"Australia","2011","20287.683088736"
"Australia","2010","19537.8716919547"
"Australia","2009","19661.2626200018"
"Australia","2008","19147.732934924"
"Australia","2007","18821.0806253694"
"Australia","2006","20417.3830947524"
"Australia","2005","20511.0811136915"
"Australia","2004","20441.0027055759"
"Australia","2003","18758.9599266644"
"Australia","2002","19909.1989642037"
"Australia","2001","19403.2046525346"
"Australia","2000","19088.8402585257"
"Australia","1999","18148.0916543943"
"Australia","1998","17673.2076171566"
"Australia","1997","17617.6895719331"
"Australia","1996","16826.2704761071"
"Australia","1995","15562.6430886656"
"Australia","1994","16394.369542561"
"Australia","1993","15972.7416666699"
"Australia","1992","15513.317791092"
"Australia","1991","15683.9143938991"
"Australia","1990","16084.6451790658"
"Austria","2021","3122.73842634248"
"Austria","2020","3088.91639399474"
"Austria","2019","3130.59880237526"
"Austria","2018","3135.7270099352"
"Austria","2017","3174.93360185661"
"Austria","2016","3230.68234312308"
"Austria","2015","3142.20111405861"
"Austria","2014","3127.41209609937"
"Austria","2013","3045.8798202296"
"Austria","2012","3061.23356977423"
"Austria","2011","3087.34221730881"
"Austria","2010","2994.28080608613"
"Austria","2009","3163.79454482471"
"Austria","2008","3362.01428863522"
"Austria","2007","3210.57498180663"
"Austria","2006","3194.5944025791"
"Austria","2005","3188.21492483003"
"Austria","2004","3189.69516438219"
"Austria","2003","3722.18764168204"
"Austria","2002","3736.08823150723"
"Austria","2001","3748.03723921351"
"Austria","2000","3871.49782224617"
"Austria","1999","3899.1127257104"
"Austria","1998","3922.41307914233"
"Austria","1997","3882.96406583561"
"Austria","1996","3872.19527656499"
"Austria","1995","3856.17257542828"
"Austria","1994","3797.62055885052"
"Austria","1993","3849.66194979283"
"Austria","1992","3843.11873208253"
"Austria","1991","4037.4885337374"
"Austria","1990","4011.19089464778"
"Belarus","2021","12938.0206050906"
"Belarus","2020","12978.3526962995"
"Belarus","2019","12445.3633199863"
"Belarus","2018","12352.4735122317"
"Belarus","2017","12381.9732700706"
"Belarus","2016","12140.2429376187"
"Belarus","2015","12094.3686797235"
"Belarus","2014","12213.6642902305"
"Belarus","2013","12753.1205812861"
"Belarus","2012","12669.4537456052"
"Belarus","2011","13122.4514877554"
"Belarus","2010","12599.3510359242"
"Belarus","2009","12742.9666737632"
"Belarus","2008","12469.9258022893"
"Belarus","2007","11895.6529708471"
"Belarus","2006","12045.7632614132"
"Belarus","2005","11553.1808552784"
"Belarus","2004","11111.9684772214"
"Belarus","2003","10847.5505121551"
"Belarus","2002","10311.7827687154"
"Belarus","2001","10784.5370331232"
"Belarus","2000","11103.0887047968"
"Belarus","1999","11087.5902840974"
"Belarus","1998","12118.9915143679"
"Belarus","1997","11860.2911985854"
"Belarus","1996","11488.0104119333"
"Belarus","1995","11059.7915479743"
"Belarus","1994","11670.7397742132"
"Belarus","1993","14252.4677124285"
"Belarus","1992","14210.2961567653"
"Belarus","1991","15902.0283326791"
"Belarus","1990","16224.4861532494"
"Belgium","2021","4733.2055356223"
"Belgium","2020","4787.45628121925"
"Belgium","2019","4946.17326259734"
"Belgium","2018","5010.73162872995"
"Belgium","2017","5243.32522235347"
"Belgium","2016","5085.53981382652"
"Belgium","2015","5328.0910370233"
"Belgium","2014","5460.10753440573"
"Belgium","2013","5456.15543232696"
"Belgium","2012","5599.38103561966"
"Belgium","2011","5626.72692691316"
"Belgium","2010","6696.47401737917"
"Belgium","2009","6240.79351379753"
"Belgium","2008","6153.37659563124"
"Belgium","2007","6180.80416398823"
"Belgium","2006","6656.70833983431"
"Belgium","2005","7545.29355624327"
"Belgium","2004","7763.17611315776"
"Belgium","2003","7616.01475603948"
"Belgium","2002","8416.45170593011"
"Belgium","2001","8724.28480671343"
"Belgium","2000","9071.02999599089"
"Belgium","1999","9712.12173585333"
"Belgium","1998","9707.21173869448"
"Belgium","1997","9810.02815082198"
"Belgium","1996","10007.9759049469"
"Belgium","1995","9618.18723591883"
"Belgium","1994","9189.1077607024"
"Belgium","1993","8830.18989867973"
"Belgium","1992","8586.53665592677"
"Belgium","1991","8831.88131321568"
"Belgium","1990","8950.47887873998"
"Bulgaria","2021","4312.07601940031"
"Bulgaria","2020","4233.94337542839"
"Bulgaria","2019","4361.76296466877"
"Bulgaria","2018","4344.39435893608"
"Bulgaria","2017","4429.03298989116"
"Bulgaria","2016","4443.01897702961"
"Bulgaria","2015","4147.73035701132"
"Bulgaria","2014","4055.79434075605"
"Bulgaria","2013","3651.8657729755"
