"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2017","1188.0","1","million cubic metres"
"Algeria","2017","7730.0","","million cubic metres"
"Algeria","2016","7800.0","","million cubic metres"
"Algeria","2015","5512.7","","million cubic metres"
"Algeria","2014","4819.8","","million cubic metres"
"Algeria","2013","4642.8","","million cubic metres"
"Algeria","2012","7800.0","","million cubic metres"
"Algeria","2011","7515.0","","million cubic metres"
"Algeria","2010","7203.0","","million cubic metres"
"Algeria","2009","7150.0","","million cubic metres"
"Algeria","2008","6950.0","","million cubic metres"
"Algeria","2007","6850.0","","million cubic metres"
"Algeria","2006","6500.0","","million cubic metres"
"Algeria","2005","6450.0","","million cubic metres"
"Algeria","2004","6300.0","","million cubic metres"
"Algeria","2003","6100.0","","million cubic metres"
"Algeria","2002","6100.0","","million cubic metres"
"Algeria","2001","6100.0","","million cubic metres"
"Algeria","2000","6100.0","","million cubic metres"
"Andorra","2019","20.4","","million cubic metres"
"Andorra","2018","15.8","","million cubic metres"
"Andorra","2017","17.6","","million cubic metres"
"Andorra","2016","17.0","","million cubic metres"
"Andorra","2015","15.7","","million cubic metres"
"Andorra","2014","15.4","","million cubic metres"
"Andorra","2013","17.2","","million cubic metres"
"Andorra","2012","16.6","","million cubic metres"
"Andorra","2011","16.0","","million cubic metres"
"Andorra","2010","15.8","","million cubic metres"
"Andorra","2009","15.4","","million cubic metres"
"Andorra","2008","16.4","","million cubic metres"
"Andorra","2007","16.6","","million cubic metres"
"Antigua and Barbuda","2021","1.6","","million cubic metres"
"Antigua and Barbuda","2020","1.5","","million cubic metres"
"Antigua and Barbuda","2019","2.0","","million cubic metres"
"Antigua and Barbuda","2018","1.3","","million cubic metres"
"Antigua and Barbuda","2017","2.0","","million cubic metres"
"Antigua and Barbuda","2016","0.6","","million cubic metres"
"Antigua and Barbuda","2015","1.3","","million cubic metres"
"Antigua and Barbuda","2014","1.1","","million cubic metres"
"Antigua and Barbuda","2013","2.8","","million cubic metres"
"Antigua and Barbuda","2012","3.8","","million cubic metres"
"Antigua and Barbuda","2011","3.8","","million cubic metres"
"Antigua and Barbuda","2010","3.8","","million cubic metres"
"Antigua and Barbuda","2009","4.0","","million cubic metres"
"Antigua and Barbuda","2008","3.5","","million cubic metres"
"Antigua and Barbuda","2007","3.3","","million cubic metres"
"Antigua and Barbuda","2006","3.0","","million cubic metres"
"Antigua and Barbuda","2005","3.0","","million cubic metres"
"Antigua and Barbuda","2004","2.8","","million cubic metres"
