"Country or Area","Year","Value","Value Footnotes","Unit"
"Algeria","2017","2499.0","","1000 cubic metres/day"
"Algeria","2016","3107.0","","1000 cubic metres/day"
"Algeria","2015","2387.0","","1000 cubic metres/day"
"Algeria","2014","1806.0","","1000 cubic metres/day"
"Algeria","2013","1563.0","","1000 cubic metres/day"
"Andorra","2019","0.0","","1000 cubic metres/day"
"Andorra","2018","0.0","","1000 cubic metres/day"
"Andorra","2017","0.0","","1000 cubic metres/day"
"Andorra","2016","0.0","","1000 cubic metres/day"
"Andorra","2015","0.0","","1000 cubic metres/day"
"Andorra","2014","0.0","","1000 cubic metres/day"
"Andorra","2013","0.0","","1000 cubic metres/day"
"Andorra","2012","0.0","","1000 cubic metres/day"
"Andorra","2011","0.0","","1000 cubic metres/day"
"Andorra","2010","2.5","","1000 cubic metres/day"
"Andorra","2009","0.0","","1000 cubic metres/day"
"Andorra","2008","5.9","","1000 cubic metres/day"
"Andorra","2007","11.8","","1000 cubic metres/day"
"Andorra","2006","13.7","","1000 cubic metres/day"
"Andorra","2005","38.0","","1000 cubic metres/day"
"Andorra","2004","35.2","","1000 cubic metres/day"
"Andorra","2003","31.4","","1000 cubic metres/day"
"Andorra","2002","32.3","","1000 cubic metres/day"
"Andorra","2001","34.8","","1000 cubic metres/day"
"Andorra","2000","34.5","","1000 cubic metres/day"
"Andorra","1999","34.6","","1000 cubic metres/day"
"Andorra","1998","35.1","","1000 cubic metres/day"
"Armenia","2019","322.7","","1000 cubic metres/day"
"Armenia","2018","184.9","","1000 cubic metres/day"
"Armenia","2017","174.1","","1000 cubic metres/day"
"Armenia","2016","308.8","","1000 cubic metres/day"
"Armenia","2015","362.0","","1000 cubic metres/day"
"Armenia","2014","292.0","","1000 cubic metres/day"
"Armenia","2013","178.0","","1000 cubic metres/day"
"Armenia","2012","841.0","","1000 cubic metres/day"
"Armenia","2011","677.0","","1000 cubic metres/day"
"Armenia","2010","519.0","","1000 cubic metres/day"
"Armenia","2009","243.0","","1000 cubic metres/day"
"Armenia","2008","241.0","","1000 cubic metres/day"
"Armenia","2007","249.0","","1000 cubic metres/day"
"Armenia","2006","411.0","","1000 cubic metres/day"
"Armenia","2005","279.0","","1000 cubic metres/day"
"Armenia","2004","379.0","","1000 cubic metres/day"
"Armenia","2003","486.0","","1000 cubic metres/day"
"Armenia","2002","249.0","","1000 cubic metres/day"
"Armenia","2001","257.0","","1000 cubic metres/day"
"Armenia","2000","649.0","","1000 cubic metres/day"
"Armenia","1999","581.0","","1000 cubic metres/day"
"Armenia","1998","822.0","","1000 cubic metres/day"
"Armenia","1997","767.0","","1000 cubic metres/day"
"Armenia","1996","756.0","","1000 cubic metres/day"
"Armenia","1995","805.0","","1000 cubic metres/day"
"Armenia","1990","581.0","","1000 cubic metres/day"
"Azerbaijan","2021","485.9","","1000 cubic metres/day"
