Country or Region, Death Rate in 1990, Death Rate in 2021, Absolute Change, Relative Change
Afghanistan,34.9,10.1,-24.8,-71%,
African Region (WHO),81.0,31.3,-49.7,-61%,
Albania,3.3,0.4,-2.9,-88%,
Algeria,3.5,1.0,-2.4,-70%,
American Samoa,4.8,3.3,-1.5,-32%,
Americas (WHO),4.9,1.1,-3.8,-77%,
Andorra,0.2,0.1,-0.1,-63%,
Angola,117.5,30.0,-87.5,-74%,
Antigua and Barbuda,4.4,2.0,-2.4,-55%,
Argentina,1.5,0.7,-0.8,-51%,
Armenia,3.0,0.6,-2.3,-79%,
Australia,0.2,0.1,-0.1,-60%,
Austria,0.2,0.1,-0.2,-62%,
Azerbaijan,6.7,0.8,-5.8,-88%,
Bahamas,2.9,1.3,-1.6,-56%,
Bahrain,2.1,0.6,-1.5,-72%,
Bangladesh,49.2,9.3,-39.9,-81%,
Barbados,2.0,1.4,-0.6,-29%,
Belarus,0.4,0.1,-0.3,-71%,
Belgium,0.5,0.3,-0.2,-42%,
Belize,9.7,4.7,-5.0,-52%,
Benin,97.8,35.7,-62.1,-63%,
Bermuda,1.7,0.6,-1.1,-64%,
Bhutan,61.2,3.5,-57.7,-94%,
Bolivia,23.9,4.5,-19.4,-81%,
Bosnia and Herzegovina,0.6,0.1,-0.5,-78%,
Botswana,60.2,19.3,-40.9,-68%,
Brazil,9.5,1.8,-7.7,-81%,
Brunei,0.9,0.3,-0.6,-67%,
Bulgaria,1.3,0.3,-1.1,-81%,
Burkina Faso,109.4,44.4,-65.0,-59%,
Burundi,87.6,43.8,-43.8,-50%,
Cambodia,49.7,9.5,-40.2,-81%,
Cameroon,66.2,28.9,-37.3,-56%,
Canada,0.1,0.0,-0.1,-66%,
Cape Verde,32.5,15.6,-16.9,-52%,
Central African Republic,106.1,68.2,-37.9,-36%,
Chad,137.0,77.7,-59.3,-43%,
Chile,1.9,0.2,-1.7,-91%,
China,6.7,0.4,-6.3,-94%,
Colombia,3.3,0.6,-2.7,-81%,
Comoros,57.4,25.2,-32.2,-56%,
Congo,58.3,20.7,-37.7,-65%,
Cook Islands,6.2,2.1,-4.1,-66%,
Costa Rica,1.6,0.4,-1.2,-73%,
Cote d'Ivoire,66.4,28.9,-37.5,-56%,
Croatia,0.3,0.1,-0.2,-59%,
Cuba,3.2,1.8,-1.3,-42%,
Cyprus,1.1,0.2,-0.9,-83%,
Czechia,0.4,0.2,-0.2,-39%,
Democratic Republic of Congo,76.1,35.5,-40.6,-53%,
Denmark,0.4,0.3,-0.1,-35%,
Djibouti,63.7,26.2,-37.5,-59%,
Dominica,5.9,2.2,-3.7,-62%,
Dominican Republic,10.9,3.0,-7.9,-73%,
East Asia & Pacific (WB),8.6,1.0,-7.6,-88%,
East Timor,39.2,5.7,-33.5,-85%,
Eastern Mediterranean (WHO),21.2,4.6,-16.6,-78%,
Ecuador,9.6,1.9,-7.8,-81%,
Egypt,13.0,1.7,-11.4,-87%,
El Salvador,11.1,1.6,-9.5,-86%,
Equatorial Guinea,109.9,17.1,-92.8,-84%,
Eritrea,126.9,53.4,-73.5,-58%,
Estonia,0.3,0.1,-0.2,-71%,
Eswatini,70.4,26.4,-44.0,-62%,
Ethiopia,129.3,36.5,-92.9,-72%,
Europe & Central Asia (WB),1.6,0.4,-1.2,-77%,
European Region (WHO),1.6,0.4,-1.2,-77%,
Fiji,10.6,4.9,-5.7,-54%,
Finland,0.7,0.1,-0.6,-89%,
France,0.5,0.2,-0.3,-69%,
Gabon,48.2,14.8,-33.4,-69%,
Gambia,73.0,36.1,-36.9,-51%,
Georgia,1.7,0.5,-1.2,-71%,
Germany,0.3,0.1,-0.1,-48%,
Ghana,60.4,26.0,-34.4,-57%,
Greece,0.3,0.3,-0.1,-16%,
Greenland,0.4,0.1,-0.3,-76%,
Grenada,8.3,3.0,-5.3,-64%,
Guam,2.2,0.6,-1.6,-71%,
Guatemala,52.4,6.3,-46.1,-88%,
Guinea,125.2,43.3,-81.9,-65%,
Guinea-Bissau,114.4,45.5,-68.9,-60%,
Guyana,13.6,5.1,-8.5,-62%,
Haiti,61.1,22.6,-38.5,-63%,
High-income countries,0.5,0.2,-0.3,-68%,
Honduras,11.0,2.3,-8.6,-79%,
Hungary,0.3,0.1,-0.1,-54%,
Iceland,0.6,0.2,-0.4,-65%,
India,78.9,12.7,-66.2,-84%,
Indonesia,28.6,3.5,-25.2,-88%,
Iran,2.9,0.5,-2.5,-84%,
Iraq,2.5,0.4,-2.1,-85%,
Ireland,1.1,0.2,-0.9,-82%,
Israel,0.4,0.2,-0.2,-48%,
Italy,0.2,0.1,-0.1,-49%,
Jamaica,4.1,1.1,-3.0,-72%,
Japan,0.5,0.1,-0.4,-74%,
Jordan,2.2,0.5,-1.6,-75%,
Kazakhstan,1.1,0.2,-0.9,-82%,
Kenya,67.1,31.4,-35.7,-53%,
Kiribati,43.5,19.2,-24.3,-56%,
Kuwait,0.8,0.6,-0.3,-32%,
Kyrgyzstan,3.9,0.4,-3.5,-89%,
Laos,64.1,10.7,-53.3,-83%,
Latin America & Caribbean (WB),8.8,2.0,-6.8,-77%,
Latvia,0.4,0.1,-0.2,-64%,
Lebanon,2.6,1.0,-1.6,-61%,
Lesotho,93.0,59.3,-33.7,-36%,
Liberia,93.0,31.5,-61.5,-66%,
Libya,3.2,0.9,-2.3,-73%,
Lithuania,0.3,0.1,-0.2,-55%,
Low-income countries,70.6,27.0,-43.6,-62%,
Lower-middle-income countries,52.6,11.9,-40.7,-77%,
Luxembourg,0.3,0.1,-0.2,-60%,
Madagascar,82.2,42.1,-40.1,-49%,
Malawi,109.1,42.0,-67.1,-61%,
