Entity,Code,Year,Life expectancy,814480-annotations
Afghanistan,AFG,1950,31.55,
Afghanistan,AFG,1955,32.8,
Afghanistan,AFG,1960,34.61171,
Afghanistan,AFG,1965,36.82049,
Afghanistan,AFG,1970,38.4,
Afghanistan,AFG,1975,39.4,
Afghanistan,AFG,1980,40.5,
Afghanistan,AFG,1985,41.5,
Afghanistan,AFG,1990,45.9672,
Afghanistan,AFG,1995,52.5442,
Afghanistan,AFG,2000,55.2978,
Afghanistan,AFG,2005,58.3608,
Afghanistan,AFG,2010,60.8508,
Afghanistan,AFG,2015,62.6587,
Afghanistan,AFG,2020,62.5751,
Albania,ALB,1870,26.633135,
Albania,ALB,1880,27.295284,
Albania,ALB,1890,28.325294,
Albania,ALB,1900,29.723166,
Albania,ALB,1913,32.01525,
Albania,ALB,1925,33.494015,
Albania,ALB,1929,35.712162,
Albania,ALB,1933,37.04305,
Albania,ALB,1938,38.3,
Albania,ALB,1950,55.25,
Albania,ALB,1955,57.89,
Albania,ALB,1960,60.60488,
Albania,ALB,1965,62.38049,
Albania,ALB,1970,65.36098,
Albania,ALB,1975,67.8439,
Albania,ALB,1980,69.656,
Albania,ALB,1985,71.338,
Albania,ALB,1990,73.1439,
Albania,ALB,1995,74.3616,
Albania,ALB,2000,75.4043,
Albania,ALB,2005,76.6208,
Albania,ALB,2010,77.9359,
Albania,ALB,2015,78.6441,
Albania,ALB,2020,76.9893,
Algeria,DZA,1870,25,
Algeria,DZA,1880,25,
Algeria,DZA,1890,25,
Algeria,DZA,1900,26.581661,
Algeria,DZA,1913,28.8224,
Algeria,DZA,1925,28.8224,
Algeria,DZA,1929,30.698612,
Algeria,DZA,1933,31.2,
Algeria,DZA,1938,33.72,
Algeria,DZA,1950,43.15,
Algeria,DZA,1955,45.75,
Algeria,DZA,1960,47.28439,
Algeria,DZA,1965,50.18439,
Algeria,DZA,1970,53.25512,
Algeria,DZA,1975,56.27561,
Algeria,DZA,1980,59.626,
Algeria,DZA,1985,63.694,
Algeria,DZA,1990,67.416,
Algeria,DZA,1995,67.4544,
Algeria,DZA,2000,70.4779,
Algeria,DZA,2005,72.0612,
Algeria,DZA,2010,73.8081,
Algeria,DZA,2015,75.622,
Algeria,DZA,2020,74.4528,
Angola,AGO,1870,25,
Angola,AGO,1880,25,
Angola,AGO,1890,25,
Angola,AGO,1900,25,
Angola,AGO,1913,25,
Angola,AGO,1925,25,
Angola,AGO,1929,25,
Angola,AGO,1933,25,
Angola,AGO,1938,27,
Angola,AGO,1950,30.05,
Angola,AGO,1955,32.05,
Angola,AGO,1960,33.1839,
Angola,AGO,1965,35.16341,
Angola,AGO,1970,37.19268,
Angola,AGO,1975,39.2122,
Angola,AGO,1980,40.547,
Angola,AGO,1985,41.199,
Angola,AGO,1990,41.8933,
Angola,AGO,1995,45.8491,
Angola,AGO,2000,46.0236,
Angola,AGO,2005,51.5699,
Angola,AGO,2010,56.7258,
Angola,AGO,2015,60.6546,
Angola,AGO,2020,62.2612,
Argentina,ARG,1870,31.832973,
Argentina,ARG,1880,32.9,
Argentina,ARG,1890,36.45,
Argentina,ARG,1900,39,
Argentina,ARG,1913,45.73314,
Argentina,ARG,1925,49.61047,
Argentina,ARG,1929,51.102722,
Argentina,ARG,1933,52.641148,
Argentina,ARG,1938,54.63143,
Argentina,ARG,1950,62.5,
Argentina,ARG,1955,64.4,
Argentina,ARG,1960,65.15952,
Argentina,ARG,1965,65.77268,
Argentina,ARG,1970,66.80927,
Argentina,ARG,1975,68.17756,
Argentina,ARG,1980,69.528,
Argentina,ARG,1985,70.647,
Argentina,ARG,1990,71.7837,
Argentina,ARG,1995,73.1333,
Argentina,ARG,2000,73.926,
Argentina,ARG,2005,75.1388,
Argentina,ARG,2010,75.7208,
Argentina,ARG,2015,76.7602,
Argentina,ARG,2020,75.8921,
Armenia,ARM,1980,70.933,
Armenia,ARM,1985,69.706,
Armenia,ARM,1990,68.8209,
Armenia,ARM,1995,69.3108,
Armenia,ARM,2000,70.6236,
Armenia,ARM,2005,71.7922,
Armenia,ARM,2010,73.1597,
Armenia,ARM,2015,74.4361,
Armenia,ARM,2020,72.173,
Australia,AUS,1870,48.055,
Australia,AUS,1880,49.02,
Australia,AUS,1890,51,
Australia,AUS,1900,54.975,
Australia,AUS,1913,58.985,
Australia,AUS,1925,63.17,
Australia,AUS,1929,63.08,
Australia,AUS,1933,65.43,
Australia,AUS,1938,65.76,
Australia,AUS,1950,69,
Australia,AUS,1955,70.15,
Australia,AUS,1960,70.87,
Australia,AUS,1965,70.8,
Australia,AUS,1970,70.65,
Australia,AUS,1975,72.78,
Australia,AUS,1980,74.57,
Australia,AUS,1985,75.43,
Australia,AUS,1990,77.0443,
Australia,AUS,1995,78.2619,
Australia,AUS,2000,79.6309,
Australia,AUS,2005,81.1126,
Australia,AUS,2010,82.055,
Australia,AUS,2015,82.6552,
Australia,AUS,2020,84.3239,
Austria,AUT,1870,34.4,
Austria,AUT,1880,35,
Austria,AUT,1890,37.3,
Austria,AUT,1900,42,
Austria,AUT,1913,45.1,
Austria,AUT,1925,50.8,
Austria,AUT,1929,56.5,
Austria,AUT,1933,56.5,
Austria,AUT,1938,58.996,
Austria,AUT,1950,64.81,
Austria,AUT,1955,67.55,
Austria,AUT,1960,68.74,
Austria,AUT,1965,69.93,
Austria,AUT,1970,70.09,
Austria,AUT,1975,71.33,
Austria,AUT,1980,72.67,
Austria,AUT,1985,73.99,
Austria,AUT,1990,75.7396,
Austria,AUT,1995,76.7766,
Austria,AUT,2000,78.2358,
Austria,AUT,2005,79.521,
Austria,AUT,2010,80.4643,
Austria,AUT,2015,81.1594,
Austria,AUT,2020,81.5036,
Azerbaijan,AZE,1980,64.917,
Azerbaijan,AZE,1985,65.554,
Azerbaijan,AZE,1990,62.3522,
Azerbaijan,AZE,1995,62.3052,
Azerbaijan,AZE,2000,64.8905,
