Country or Region, Death Rate in 1990, Death Rate in 2021, Absolute Change, Relative Change
Afghanistan,27.4,4.7,-22.7,-83%,
Albania,1.0,0.1,-0.9,-88%,
Algeria,1.9,0.2,-1.7,-91%,
American Samoa,7.2,3.7,-3.4,-48%,
Andorra,0.0,0.0,-0.0,-76%,
Angola,177.0,23.6,-153.4,-87%,
Antigua and Barbuda,2.3,0.6,-1.7,-76%,
Argentina,1.5,0.2,-1.3,-90%,
Armenia,4.9,0.1,-4.8,-98%,
Australia,0.1,0.0,-0.1,-76%,
Austria,0.0,0.0,+0.0,+20%,
Azerbaijan,9.7,1.2,-8.4,-87%,
Bahamas,1.1,0.2,-0.9,-86%,
Bahrain,1.1,0.2,-0.9,-84%,
Bangladesh,80.5,15.4,-65.2,-81%,
Barbados,1.2,0.2,-1.0,-81%,
Belarus,0.3,0.0,-0.2,-89%,
Belgium,0.1,0.0,-0.0,-21%,
Belize,7.9,1.0,-6.9,-87%,
Benin,125.9,34.6,-91.3,-73%,
Bermuda,0.6,0.1,-0.5,-91%,
Bhutan,159.7,19.4,-140.3,-88%,
Bolivia,16.5,2.2,-14.3,-87%,
Bosnia and Herzegovina,0.4,0.1,-0.3,-72%,
Botswana,71.0,25.7,-45.2,-64%,
Brazil,14.5,0.8,-13.7,-95%,
Brunei,0.2,0.1,-0.2,-71%,
Bulgaria,0.0,0.0,+0.0,+21%,
Burkina Faso,138.4,43.0,-95.4,-69%,
Burundi,96.1,46.8,-49.3,-51%,
Cambodia,61.6,5.7,-55.9,-91%,
Cameroon,72.6,21.5,-51.1,-70%,
Canada,0.0,0.1,+0.0,+155%,
Cape Verde,41.2,6.9,-34.3,-83%,
Central African Republic,123.8,77.8,-45.9,-37%,
Chad,206.4,100.8,-105.6,-51%,
Chile,1.7,0.2,-1.5,-91%,
China,6.0,0.1,-5.9,-98%,
Colombia,5.0,0.4,-4.6,-92%,
Comoros,50.9,18.5,-32.3,-64%,
Congo,74.2,22.4,-51.8,-70%,
Cook Islands,1.5,0.4,-1.1,-71%,
Costa Rica,2.4,0.1,-2.2,-95%,
Cote d'Ivoire,62.8,19.4,-43.4,-69%,
Croatia,0.0,0.0,-0.0,-10%,
Cuba,2.3,0.4,-1.9,-84%,
Cyprus,0.6,0.0,-0.5,-92%,
Czechia,0.0,0.1,+0.0,+16%,
Democratic Republic of Congo,75.1,20.3,-54.8,-73%,
Denmark,0.0,0.0,-0.0,-23%,
Djibouti,77.6,19.9,-57.6,-74%,
Dominica,2.8,0.8,-2.0,-71%,
Dominican Republic,16.6,2.4,-14.2,-85%,
East Timor,88.4,8.8,-79.6,-90%,
Ecuador,12.4,0.4,-12.0,-97%,
Egypt,22.8,1.1,-21.7,-95%,
El Salvador,22.2,1.6,-20.5,-93%,
Equatorial Guinea,150.4,6.3,-144.0,-96%,
Eritrea,166.7,48.5,-118.2,-71%,
Estonia,0.2,0.0,-0.2,-93%,
Eswatini,96.3,27.8,-68.5,-71%,
Ethiopia,163.9,42.5,-121.4,-74%,
Fiji,21.7,8.9,-12.8,-59%,
Finland,0.0,0.0,-0.0,-68%,
France,0.1,0.0,-0.1,-87%,
Gabon,53.9,9.6,-44.3,-82%,
Gambia,72.1,20.2,-51.9,-72%,
Georgia,2.5,0.1,-2.4,-97%,
Germany,0.0,0.0,-0.0,-31%,
Ghana,71.1,17.6,-53.5,-75%,
Greece,0.0,0.0,-0.0,-11%,
Greenland,0.3,0.1,-0.2,-64%,
Grenada,2.4,0.4,-2.1,-85%,
Guam,1.9,0.5,-1.4,-76%,
Guatemala,76.1,8.1,-68.0,-89%,
Guinea,169.8,36.8,-133.1,-78%,
Guinea-Bissau,137.3,35.8,-101.6,-74%,
Guyana,18.0,2.9,-15.1,-84%,
Haiti,76.2,22.3,-53.9,-71%,
Honduras,39.0,7.2,-31.8,-82%,
Hungary,0.2,0.1,-0.1,-32%,
Iceland,0.0,0.0,-0.0,-46%,
India,171.4,25.2,-146.1,-85%,
Indonesia,117.3,8.5,-108.8,-93%,
Iran,4.2,0.3,-3.9,-92%,
Iraq,5.0,0.4,-4.5,-91%,
Ireland,0.0,0.0,-0.0,-58%,
Israel,0.1,0.1,-0.0,-29%,
Italy,0.0,0.0,+0.0,+199%,
Jamaica,6.1,1.1,-5.0,-82%,
Japan,0.1,0.0,-0.0,-56%,
Jordan,1.0,0.2,-0.8,-83%,
Kazakhstan,5.2,0.1,-5.1,-98%,
Kenya,86.3,27.3,-59.1,-68%,
Kiribati,115.4,43.7,-71.7,-62%,
Kuwait,0.2,0.0,-0.2,-91%,
Kyrgyzstan,7.5,0.5,-7.0,-94%,
Laos,104.8,9.2,-95.7,-91%,
